county,state,None,D0,D1,D2,D3,D4,blueVoter,redVoter,target
Banner County,NE,69.2,30.8,6.8,0,0,0,55,339,1
Bannock County,ID,59.6,40.4,13.3,0.8,0,0,13214,21010,1
Baraga County,MI,0,0,0,0,0,0,1574,1866,1
Barber County,KS,61.8,38.3,22.2,17.4,9.5,0.8,473,1753,1
Barbour County,AL,52.7,47.3,25.2,9.8,4.4,0.9,5873,5539,0
Barbour County,WV,97.5,2.5,0,0,0,0,1761,3804,1
Barnes County,ND,75.6,24.4,6.5,0.1,0,0,2389,2953,1
Barnstable County,MA,73.2,26.8,19.7,4,0.2,0,70329,60221,0
Barnwell County,SC,63.9,36.1,8,0.3,0,0,5182,4655,0
Barren County,KY,87.9,12.1,5.1,3.4,0.9,0,5400,10922,1
Barron County,WI,97.6,2.4,0,0,0,0,10883,11413,1
Barrow County,GA,65.5,34.5,22.9,18.9,8,0,6019,18719,1
Barry County,MI,86.8,13.2,3.3,0,0,0,11496,16651,1
Barry County,MO,52.5,47.5,27.2,3.6,0.6,0,3667,9832,1
Bartholomew County,IN,93.9,6.1,0,0,0,0,10622,18083,1
Barton County,KS,54.4,45.6,28.8,12.5,0.8,0,2693,9132,1
Barton County,MO,60.5,39.5,14.1,3.9,0.6,0,1232,4416,1
Bartow County,GA,59.6,40.4,26.8,22.3,9.9,5.2,8383,26847,1
Bastrop County,TX,67,33,9.9,1.1,0,0,9860,14019,1
Bates County,MO,62.8,37.2,8.4,0,0,0,2557,5020,1
Bath County,KY,91.9,8.1,5.1,3.2,0,0,1770,2275,1
Bath County,VA,80.5,19.5,0.4,0,0,0,894,1274,1
Baxter County,AR,62.7,37.3,26.3,13.5,5.3,0,5172,13688,1
Bay County,FL,71.4,28.6,15.9,4.3,0.1,0,22037,56863,1
Bay County,MI,90.4,9.6,0.6,0,0,0,26797,23735,0
Bayfield County,WI,96.7,3.3,0,0,0,0,6025,3597,0
Baylor County,TX,61.4,38.6,22.3,12.4,4.4,0,267,1297,1
Beadle County,SD,68.6,31.4,8.1,0.3,0,0,2881,4230,1
Bear Lake County,ID,54.9,45.1,4.5,0,0,0,302,2489,1
Beaufort County,NC,87.6,12.4,0,0,0,0,9399,13918,1
Beaufort County,SC,0,0,0,0,0,0,29775,42580,1
Beauregard Parish,LA,77.1,22.9,9.9,1.6,0,0,2827,11111,1
Beaver County,OK,50,50,36.7,19.9,13.9,5.9,243,2057,1
Beaver County,PA,94.5,5.5,0,0,0,0,36833,42118,1
Beaver County,UT,35.8,64.2,40.7,5.4,0.4,0,341,2153,1
Beaverhead County,MT,78.7,21.3,2,0,0,0,1347,3251,1
Becker County,MN,85.7,14.3,0.9,0,0,0,6829,9204,1
Beckham County,OK,50.2,49.8,32.8,23.3,11.6,1.4,1413,5496,1
Bedford County,PA,91.6,8.4,0,0,0,0,4730,16509,1
Bedford County,TN,77.2,22.8,7.9,3.8,1.3,0,4207,10026,1
Bedford County,VA,67,33,7.1,0,0,0,10925,29281,1
Bee County,TX,62.2,37.8,16.7,1.2,0.2,0,3451,4354,1
Belknap County,NH,67.2,32.8,24.4,15.5,0,0,15884,17568,1
Bell County,KY,86,14,6.6,3.2,1.4,0,2224,7127,1
Bell County,TX,53.4,46.6,27.2,10.6,0.7,0,35315,49369,1
Belmont County,OH,95.8,4.2,0,0,0,0,13826,16418,1
Beltrami County,MN,61.5,38.5,10.6,0.1,0,0,11818,9637,0
Ben Hill County,GA,56.2,43.8,16.9,1.7,0.2,0,2508,3395,1
Benewah County,ID,65.4,34.6,8.1,0,0,0,1164,2596,1
Bennett County,SD,56.1,43.9,21.2,2.1,0,0,548,626,1
Bennington County,VT,73.4,26.6,11.8,0,0,0,11517,5687,0
Benson County,ND,38.7,61.3,24.8,3.1,0,0,1232,867,0
Bent County,CO,43.2,56.8,39.4,19.7,11,0.9,778,1053,1
Benton County,AR,53.7,46.3,24.4,1.8,0,0,22144,53477,1
Benton County,IA,82.7,17.3,2.4,0,0,0,6850,6935,1
Benton County,IN,92.4,7.6,0,0,0,0,1159,2329,1
Benton County,MN,96.5,3.5,0,0,0,0,8173,10849,1
Benton County,MO,64.7,35.3,7.2,0.1,0,0,2925,6069,1
Benton County,MS,62.3,37.7,12.9,3.1,0.7,0,2026,2030,1
Benton County,OR,55.8,44.2,27.9,17.6,0,0,27662,14922,0
Benton County,TN,85.5,14.5,5.1,3.2,0,0,2255,3850,1
Benton County,WA,56.7,43.3,8,0,0,0,27846,49105,1
Benzie County,MI,96.8,3.2,0,0,0,0,4683,5071,1
Bergen County,NJ,69.2,30.8,18.9,10.5,0,0,193470,155267,0
Berkeley County,SC,63.8,36.2,12.9,2.2,0,0,24239,35764,1
Berkeley County,WV,86.1,13.9,0.1,0,0,0,14122,21956,1
Berks County,PA,77.9,22.1,12.5,0,0,0,79895,80857,1
Berkshire County,MA,70.4,29.6,18.9,9.6,0.7,0,48596,14209,0
Bernalillo County,NM,38.7,61.3,31.8,24.6,7.6,0,147183,104242,0
Berrien County,GA,51.8,48.2,29.9,7,0.8,0,1268,4837,1
Berrien County,MI,96.6,3.4,0,0,0,0,33465,38209,1
Bertie County,NC,81.6,18.4,0,0,0,0,6537,3367,0
Bexar County,TX,64.8,35.2,9.4,0.4,0,0,263871,240519,0
Bibb County,AL,58.9,41.1,23.6,12.8,6.6,2.2,2200,6131,1
Bibb County,GA,44.2,55.8,24.4,9.5,6.3,3.7,38538,25606,0
Bienville Parish,LA,55,45,32.3,14.2,1.1,0,3490,3641,1
Big Horn County,MT,85.7,14.3,5.3,0.6,0,0,2830,1655,0
Big Horn County,WY,80.8,19.2,5.5,1.5,0,0,868,4269,1
Big Stone County,MN,87.4,12.6,2.7,0,0,0,1345,1385,1
Billings County,ND,44.7,55.3,34.2,10.8,5.5,0,89,472,1
Bingham County,ID,75,25,1.2,0,0,0,3822,13440,1
Black Hawk County,IA,94.4,5.6,0,0,0,0,39338,26078,0
Blackford County,IN,100,0,0,0,0,0,1927,2710,1
Bladen County,NC,69.9,30.1,2,0,0,0,8277,7947,0
Blaine County,ID,69.8,30.2,0.8,0,0,0,5992,3939,0
Blaine County,MT,57.1,42.9,27.8,18.8,12.6,3.7,1598,1169,0
