county,state,None,D0,D1,D2,D3,D4,Overall D,blue_2012,red_2012,blue_2016,red_2016,target_2012,target_2016
Kent County,MD,84.2,15.8,1.9,0,0,0,17.7,4453,4533,4178,4598,1,1
Kent County,MI,89.4,10.6,2.3,0,0,0,12.9,134560,157801,138567,147959,1,1
Kent County,RI,73.1,26.9,19.8,2.6,0,0,49.3,44966,30786,37582,38141,0,1
Kent County,TX,57.7,42.3,23.2,13.5,5.2,0,84.2,66,334,59,360,1,1
Kenton County,KY,96.4,3.6,0.8,0,0,0,4.4,24917,41387,24213,42958,1,1
Keokuk County,IA,53.6,46.4,9.7,0.7,0,0,56.8,2298,2840,1265,3385,1,1
Kern County,CA,33.3,66.7,46.7,18.7,14.4,9.8,156.3,64690,99840,86481,119164,1,1
Kerr County,TX,59,41,23.6,6.3,0.4,0,71.3,4325,17225,4665,17658,1,1
Kershaw County,SC,68.1,31.9,5.7,0,0,0,37.6,10821,15846,10293,17464,1,1
Kewaunee County,WI,96.7,3.3,0,0,0,0,3.3,5151,5746,3623,6616,1,1
Keweenaw County,MI,87.5,12.5,0,0,0,0,12.5,582,774,527,814,1,1
Keya Paha County,NE,81.6,18.4,5.7,1.5,0,0,25.6,80,392,39,458,1,1
Kidder County,ND,61.6,38.4,12.5,3.7,0.3,0,54.9,393,870,179,1106,1,1
Kimball County,NE,67.7,32.3,8.4,0,0,0,40.7,391,1222,227,1317,1,1
Kimble County,TX,63.6,36.4,20.7,4.2,0.5,0,61.8,217,1667,206,1697,1,1
King and Queen County,VA,80,20,0,0,0,0,20,1743,1863,1451,2059,1,1
King County,TX,51.6,48.4,32,22.6,11.5,1.1,115.6,5,139,5,149,1,1
King County,WA,54.2,45.8,21.4,1.8,0,0,69,599796,252090,657149,197781,0,0
King George County,VA,72.3,27.7,6.4,0.1,0,0,34.2,4476,6603,4002,7338,1,1
King William County,VA,78.1,21.9,0,0,0,0,21.9,3326,5445,2752,5963,1,1
Kingfisher County,OK,51,49,36.3,19.5,1.6,0,106.4,844,4510,783,5151,1,1
Kingman County,KS,63,37,23.9,17.6,7.5,0,86,731,2371,594,2507,1,1
Kings County,CA,38.3,61.7,49.8,19.3,14.6,12.6,158,12282,17184,12902,17446,1,1
Kings County,NY,73,27,14.6,0,0,0,41.6,503291,108630,595086,133653,0,0
Kingsbury County,SD,83.9,16.1,2.1,0,0,0,18.2,1092,1451,703,1680,1,1
Kinney County,TX,60.8,39.2,27,14,6,0.2,86.4,522,880,457,936,1,1
Kiowa County,CO,43.2,56.8,41.6,17,3.2,0.2,118.8,118,677,91,726,1,1
Kiowa County,KS,51.3,48.7,25.9,14.1,8.7,0,97.4,160,970,111,855,1,1
Kiowa County,OK,56.5,43.5,28,22.6,14.2,0.4,108.7,1101,2309,766,2593,1,1
Kit Carson County,CO,67.5,32.5,19.8,0.1,0,0,52.4,789,2664,526,2894,1,1
Kitsap County,WA,58.5,41.5,19.3,3,0,0,63.8,59701,47468,60561,46762,0,0
Kittitas County,WA,48.6,51.4,9.6,0,0,0,61,6462,8372,7190,9845,1,1
Kittson County,MN,65,35,11.6,0,0,0,46.6,1241,1095,823,1349,0,1
Klamath County,OR,48.5,51.5,33.6,19,7.2,0,111.3,8140,18654,7080,20170,1,1
Kleberg County,TX,60.6,39.4,12.9,1.5,0,0,53.8,4752,4056,4713,4364,0,0
Klickitat County,WA,41.3,58.7,23.2,0.5,0,0,82.4,4373,5138,3781,5390,1,1
Knott County,KY,89,11,6.3,3.2,0.6,0,21.1,1420,4130,1245,4357,1,1
Knox County,IL,79.9,20.1,0.7,0,0,0,20.8,12993,9133,9939,10658,0,1
Knox County,IN,77.5,22.5,0.1,0,0,0,22.6,5228,9612,3772,11077,1,1
Knox County,KY,88.5,11.5,5.8,3.2,1.3,0,21.8,2484,8467,1761,9885,1,1
Knox County,ME,49.5,50.5,31.8,7.3,0,0,89.6,13227,8262,12440,9148,0,0
Knox County,MO,52.5,47.5,12.8,3.3,0.8,0,64.4,698,1205,379,1413,1,1
Knox County,NE,83.9,16.1,5.7,0.2,0,0,22,1055,2878,715,3181,1,1
Knox County,OH,89.5,10.5,2.4,0,0,0,12.9,10154,16873,7959,18563,1,1
Knox County,TN,75.5,24.5,15.3,7.4,2.4,0.7,50.3,57594,106411,62861,105724,1,1
Knox County,TX,54.5,45.5,27.8,20,11.9,0.4,105.6,332,1160,247,1078,1,1
Koochiching County,MN,68.2,31.8,13,0,0,0,44.8,3451,2841,2306,3569,0,1
Kootenai County,ID,52.6,47.4,14.1,0.3,0,0,61.8,18824,39347,16264,44449,1,1
Kosciusko County,IN,93.4,6.6,0.2,0,0,0,6.8,6862,22553,6311,23909,1,1
Kossuth County,IA,96.4,3.6,0.6,0,0,0,4.2,3824,4914,2529,5637,1,1
La Crosse County,WI,93.4,6.6,1,0,0,0,7.6,36632,25711,32402,26384,0,0
La Paz County,AZ,32.2,67.8,52.2,27.3,18,0,165.3,1619,3205,1318,3381,1,1
La Plata County,CO,39.1,60.9,44,39,32.4,25.8,202.1,15063,12554,15300,12471,0,0
La Salle County,TX,66.3,33.7,16.8,6.1,0.9,0,57.5,965,669,1125,870,0,0
La Salle Parish,LA,61.4,38.6,17.7,7.1,1.2,0,64.6,764,5726,605,5835,1,1
Labette County,KS,63.8,36.2,16.8,4.9,0.8,0,58.7,3074,4668,2234,5232,1,1
Lac qui Parle County,MN,92.7,7.3,0.1,0,0,0,7.4,1974,1938,1301,2294,0,1
Lackawanna County,PA,80.8,19.2,6.7,0,0,0,25.9,61309,34730,51593,48102,0,0
Laclede County,MO,58.9,41.1,13.7,1,0.1,0,55.9,4093,10934,2543,12834,1,1
Lafayette County,AR,58.8,41.2,23.7,8.3,0.6,0,73.8,1173,1712,1028,1750,1,1
Lafayette County,FL,78.5,21.5,3,0,0,0,24.5,687,2668,515,2795,1,1
Lafayette County,MO,51.4,48.6,17.8,5.4,0.3,0,72.1,5650,9800,4047,10977,1,1
Lafayette County,MS,63.3,36.7,19.7,6.2,1.3,0,63.9,7098,9772,7968,10872,1,1
Lafayette County,WI,93.9,6.1,0,0,0,0,6.1,4534,3313,3288,3977,0,1
Lafayette Parish,LA,76.3,23.7,5.1,1.9,0,0,30.7,31766,64989,32726,68191,1,1
Lafourche Parish,LA,69.9,30.1,2.3,0,0,0,32.4,9543,28332,8423,31958,1,1
LaGrange County,IN,89.1,10.9,0.8,0,0,0,11.7,2897,6227,2080,7025,1,1
Lake County,CA,56.4,43.6,29.3,0.1,0,0,73,9159,6474,6240,5752,0,0
Lake County,CO,50.1,49.9,27.5,19.8,4.7,0,101.9,1807,1087,1600,1264,0,0
Lake County,FL,79.3,20.7,5.7,1.9,0.3,0,28.6,61790,87637,62597,101888,1,1
Lake County,IL,95,5,0,0,0,0,5,151552,128609,168186,108608,0,0
Lake County,IN,89.6,10.4,0,0,0,0,10.4,130824,68397,116896,75565,0,0
Lake County,MI,92.3,7.7,0.5,0,0,0,8.2,2752,2487,1939,3159,0,1
Lake County,MN,93.7,6.3,0,0,0,0,6.3,4043,2610,3077,2932,0,0
Lake County,MT,61.8,38.2,8.5,1.9,0,0,48.6,5715,7084,4703,7453,1,1
Lake County,OH,91.2,8.8,1.5,0,0,0,10.3,55219,57150,45056,62627,1,1
Lake County,OR,42.7,57.3,38.2,18.9,1.9,0,116.3,769,2801,628,3001,1,1
Lake County,SD,83.3,16.7,2.4,0,0,0,19.1,2724,3419,2314,4038,1,1
Lake County,TN,82.7,17.3,7,1.3,0,0,25.6,884,1163,577,1357,1,1
Lake of the Woods County,MN,64,36,13.8,0.1,0,0,49.9,859,1306,553,1540,1,1
Lamar County,AL,49.4,50.6,29.9,15.9,5,0.8,102.2,1643,5453,1035,5819,1,1
Lamar County,GA,50.7,49.3,22.8,13.8,9,4.5,99.4,2602,4896,2267,5183,1,1
Lamar County,MS,84,16,4.6,1.6,0.2,0,22.4,5037,17472,5044,18493,1,1
Lamar County,TX,51.1,48.9,35.4,17,1.8,0,103.1,4173,12814,3579,14546,1,1
Lamb County,TX,62.4,37.6,26.6,22.2,5.7,0,92.1,998,3056,770,3040,1,1
Lamoille County,VT,65.6,34.4,16.7,2.2,0,0,53.3,8371,3352,7241,3570,0,0
LaMoure County,ND,63.7,36.3,9.6,3.5,0,0,49.4,737,1374,500,1475,1,1
Lampasas County,TX,64.3,35.7,18,6,0.6,0,60.3,1457,5583,1479,6371,1,1
Lancaster County,NE,84.6,15.4,0,0,0,0,15.4,59970,61177,60533,60456,1,0
Lancaster County,PA,71.2,28.8,13.7,0,0,0,42.5,87108,129364,90066,137145,1,1
Lancaster County,SC,66.9,33.1,11.1,0,0,0,44.2,13345,19273,13718,23598,1,1
Lancaster County,VA,83,17,0,0,0,0,17,3144,3749,2862,3520,1,1
Lane County,KS,62.3,37.7,27.5,12.7,0,0,77.9,170,732,104,684,1,1
Lane County,OR,50.5,49.5,25.3,19.3,9.3,0,103.4,99891,60979,100497,66218,0,0
Langlade County,WI,92.3,7.7,0,0,0,0,7.7,4569,5810,3260,6436,1,1
Lanier County,GA,54.6,45.4,27.6,11.8,0,0,84.8,1108,1812,805,1984,1,1
Lapeer County,MI,90.5,9.5,5.7,0,0,0,15.2,18786,23725,12734,30037,1,1
LaPorte County,IN,92.8,7.2,0,0,0,0,7.2,24104,18609,19795,22678,0,1
Laramie County,WY,82.2,17.8,1.2,0,0,0,19,13807,23247,11572,24844,1,1
Larimer County,CO,52.1,47.9,16.3,4.4,0,0,68.6,83103,74603,92170,82624,0,0
Larue County,KY,90.4,9.6,5.1,3.2,0,0,17.9,1733,3911,1278,4799,1,1
Las Animas County,CO,36.7,63.3,47.4,26.8,14.3,0.4,152.2,3282,3105,2614,3656,0,1
Lassen County,CA,73,27,14.5,2.4,0,0,43.9,3044,7261,2224,7574,1,1
Latah County,ID,66.8,33.2,3.6,0,0,0,36.8,8306,7589,8093,7255,0,0
Latimer County,OK,60.8,39.2,26.9,18.2,1.4,0,85.7,1169,2620,797,3094,1,1
Lauderdale County,AL,64.9,35.1,18.4,7,3.5,0.3,64.3,12504,23902,9877,27735,1,1
Lauderdale County,MS,63.3,36.7,23.4,8,3,0,71.1,12642,17322,10910,17574,1,1
Lauderdale County,TN,83.6,16.4,6.8,2.1,0,0,25.3,4010,4616,3656,4884,1,1
Laurel County,KY,88.8,11.2,6.3,3.7,1.3,0,22.5,3905,18151,3440,20592,1,1
Laurens County,GA,45.8,54.2,19.7,3.9,2.3,0,80.1,7508,11947,6737,12401,1,1
Laurens County,SC,57.5,42.5,23.7,11.1,2.6,0,79.9,10297,14726,8845,16770,1,1
Lavaca County,TX,64.5,35.5,14.7,0.8,0,0,51,1427,6788,1170,7339,1,1
Lawrence County,AL,66,34,18.8,12,4.6,1.6,71,5055,8855,3611,10732,1,1
Lawrence County,AR,71.1,28.9,18.3,7.1,0,0,54.3,1786,3535,1263,4064,1,1
Lawrence County,IL,77,23,0,0,0,0,23,2010,3853,1288,4517,1,1
Lawrence County,IN,91.6,8.4,0.4,0,0,0,8.8,5779,11622,4210,14034,1,1
Lawrence County,KY,90.5,9.5,4.8,0.8,0,0,15.1,1520,3995,1045,4816,1,1
Lawrence County,MO,50.5,49.5,19.1,3.8,0.8,0,73.2,4014,11417,2898,13084,1,1
Lawrence County,MS,75.3,24.7,4.8,1.4,0,0,30.9,2394,4153,2181,4072,1,1
Lawrence County,OH,93.6,6.4,0,0,0,0,6.4,10454,14371,6849,18240,1,1
Lawrence County,PA,92.6,7.4,0.4,0,0,0,7.8,17427,20915,13933,25323,1,1
Lawrence County,SD,45.2,54.8,30.4,1.9,0.4,0,87.5,3973,7025,3356,7411,1,1
Lawrence County,TN,71.5,28.5,9,5.2,2.6,0,45.3,4237,10770,2821,12419,1,1
Le Flore County,OK,58.8,41.2,29.7,17.1,1.7,0,89.7,4658,11172,3245,13346,1,1
Le Sueur County,MN,100,0,0,0,0,0,0,6753,7714,4623,9182,1,1
Lea County,NM,64.3,35.7,23.5,11.3,1.7,0,72.2,4068,12480,3877,12306,1,1
Leake County,MS,68.3,31.7,21.6,11.9,3.2,0,68.4,3599,4283,3579,4775,1,1
Leavenworth County,KS,56.1,43.9,19.3,8.8,5.8,1.9,79.7,11072,16825,10064,17387,1,1
Lebanon County,PA,73.3,26.7,19.4,0,0,0,46.1,18975,34010,17860,38804,1,1
Lee County,AL,61.3,38.7,21.3,11,8.1,0.8,79.9,21274,32062,20987,34321,1,1
Lee County,AR,75.2,24.8,10.2,1.8,0,0,36.8,2107,1280,1735,1229,0,0
Lee County,FL,75.1,24.9,12.7,6.2,0,0,43.8,110080,154112,124725,191141,1,1
Lee County,GA,52.2,47.8,23.3,8.5,2.3,0,81.9,3187,10310,3166,10641,1,1
Lee County,IA,0,0,0,0,0,0,0,9428,6787,6195,8762,0,1
Lee County,IL,94.4,5.6,0,0,0,0,5.6,6932,8046,5499,8597,1,1
Lee County,KY,90.9,9.1,5.1,3.8,0,0,18,595,1977,444,2151,1,1
Lee County,MS,56.7,43.3,26.4,8.4,3.3,0.1,81.5,12043,22004,9635,21695,1,1
Lee County,NC,68,32,10.2,0,0,0,42.2,10577,13000,10380,13625,1,1
Lee County,SC,70.2,29.8,2,0,0,0,31.8,5972,2829,5170,2789,0,0
Lee County,TX,70.7,29.3,6,0.2,0,0,35.5,1630,4504,1372,4996,1,1
Lee County,VA,85.1,14.9,6.8,2.8,1.1,0,25.6,2593,6845,1627,7542,1,1
Leelanau County,MI,97.5,2.5,0,0,0,0,2.5,6576,7483,6774,7239,1,1
Leflore County,MS,72.5,27.5,13.6,4.1,1.4,0,46.6,8423,3115,6677,2757,0,0
Lehigh County,PA,77.3,22.7,12,2.4,0,0,37.1,77029,66091,77087,70285,0,0
Lemhi County,ID,73.2,26.8,1.5,0,0,0,28.3,960,3029,733,3011,1,1
Lenawee County,MI,84.5,15.5,2.7,0,0,0,18.2,21774,22351,16750,26428,1,1
Lenoir County,NC,83.7,16.3,0.5,0,0,0,16.8,13350,13763,11752,13354,1,1
Leon County,FL,61.3,38.7,15.5,3.2,0,0,57.4,90863,55806,91936,53777,0,0
Leon County,TX,69.3,30.7,13.2,2.5,0.4,0,46.8,1061,5812,909,6391,1,1
Leslie County,KY,88.5,11.5,6.4,3.2,1.1,0,22.2,433,4439,400,4015,1,1
Letcher County,KY,89.2,10.8,6,2.8,0.6,0,20.2,1702,6811,1542,7293,1,1
Levy County,FL,77.2,22.8,5.7,0.3,0,0,28.8,6118,12052,5091,13758,1,1
Lewis and Clark County,MT,65.4,34.6,14.7,5.6,0.2,0,55.1,15479,16673,14331,16665,1,1
Lewis County,ID,70.6,29.4,2.9,0,0,0,32.3,396,1173,270,1202,1,1
Lewis County,KY,91.8,8.2,4.6,2.2,0,0,15,1342,3326,785,4363,1,1
Lewis County,MO,54.2,45.8,14.1,1.6,0,0,61.5,1507,2677,933,3343,1,1
Lewis County,NY,76.5,23.5,10.1,0.1,0,0,33.7,4263,5083,2828,6916,1,1
Lewis County,TN,81.6,18.4,7.2,3.4,1.7,0,30.7,1445,3116,890,3579,1,1
Lewis County,WA,54.5,45.5,27.4,6,0,0,78.9,9772,15954,7236,16273,1,1
Lewis County,WV,97.1,2.9,0,0,0,0,2.9,1719,4349,1336,5245,1,1
Lexington County,SC,59.2,40.8,7.4,0,0,0,48.2,34007,76392,35143,79866,1,1
Liberty County,FL,67.8,32.2,16.1,4.4,0,0,52.7,942,2301,651,2542,1,1
Liberty County,GA,53.7,46.3,18.8,3.9,0,0,69,10427,5558,9531,6125,0,0
Liberty County,MT,74.4,25.6,14.4,9.1,2.1,0,51.2,257,698,205,695,1,1
Liberty County,TX,78.5,21.5,5.8,0.7,0,0,28,5196,17304,4851,18856,1,1
Licking County,OH,93.8,6.2,0.3,0,0,0,6.5,32264,43604,26360,49346,1,1
Limestone County,AL,61.1,38.9,20.1,10,4.3,1.5,74.8,9809,25263,9340,28824,1,1
Limestone County,TX,59.8,40.2,20.5,8,1.7,0,70.4,2208,5288,1748,5747,1,1
Lincoln County,AR,67.3,32.7,15.4,2.5,0.5,0,51.1,1424,2199,1252,2455,1,1
Lincoln County,CO,39.2,60.8,46.5,17.2,0.1,0,124.6,537,1663,399,1873,1,1
Lincoln County,GA,45.6,54.4,24,10.4,5.5,0.3,94.6,1586,2806,1271,2759,1,1
Lincoln County,ID,72.8,27.2,0,0,0,0,27.2,429,1141,360,1184,1,1
Lincoln County,KS,65.3,34.7,21.7,3,0,0,59.4,284,1148,214,1168,1,1
Lincoln County,KY,90.1,9.9,5.1,3.6,0.5,0,19.1,2582,6416,1865,7338,1,1
Lincoln County,ME,48.7,51.3,32.1,9.4,1.4,0,94.2,11298,8884,10241,9727,0,0
Lincoln County,MN,96.6,3.4,0,0,0,0,3.4,1428,1594,860,1930,1,1
Lincoln County,MO,58,42,19.2,5.1,0,0,66.3,7733,14330,5561,18111,1,1
Lincoln County,MS,71.8,28.2,5.6,1.3,0,0,35.1,4879,9333,4458,10550,1,1
Lincoln County,MT,42.7,57.3,31.9,12.2,0,0,101.4,2544,6045,2040,6720,1,1
Lincoln County,NC,72.4,27.6,13.7,2.4,0,0,43.7,10980,25184,9836,28653,1,1
Lincoln County,NE,75.2,24.8,0.9,0,0,0,25.7,4350,10545,2878,11992,1,1
Lincoln County,NM,45,55,29,19.6,1.9,0,105.5,2931,5940,2329,5889,1,1
Lincoln County,NM,45,55,29,19.6,1.9,0,105.5,400,1691,285,1671,1,1
Lincoln County,OK,58.9,41.1,19.2,12.9,0,0,73.2,3265,9542,2423,10838,1,1
Lincoln County,OR,58.7,41.3,31.8,15.8,0,0,88.9,13277,8623,12300,9901,0,0
Lincoln County,SD,87.5,12.5,2.4,0,0,0,14.9,7982,13611,8076,15499,1,1
Lincoln County,TN,70.5,29.5,12.7,5.4,2,0,49.6,3283,9791,2550,10375,1,1
Lincoln County,WA,61.1,38.9,2.3,0,0,0,41.2,1649,4024,1238,4095,1,1
Lincoln County,WI,90.3,9.7,0,0,0,0,9.7,7543,7444,5370,8400,0,1
Lincoln County,WV,92.5,7.5,0,0,0,0,7.5,2204,4336,1435,5257,1,1
Lincoln County,WY,65.8,34.2,5.9,0,0,0,40.1,1287,7144,1105,6779,1,1
Lincoln Parish,LA,55.3,44.7,26.3,10.8,0,0,81.8,7947,10731,7102,10761,1,1
Linn County,IA,82.2,17.8,5.8,0,0,0,23.6,68028,47427,58481,48183,0,0
Linn County,KS,64.4,35.6,10.6,0.7,0,0,46.9,1108,3079,721,3377,1,1
Linn County,MO,49.4,50.6,26.3,9.9,5.6,0,92.4,2031,3331,1239,4084,1,1
Linn County,OR,50.9,49.1,26.5,18.8,3.8,0,98.2,19893,28482,17456,32683,1,1
Lipscomb County,TX,51.5,48.5,29.3,18.7,13.5,4.9,114.9,119,1044,135,1159,1,1
Litchfield County,CT,62.5,37.5,23.2,17.7,9.3,0,87.7,43823,47207,39836,53376,1,1
Little River County,AR,63.4,36.6,21.1,7.9,2,0,67.6,1552,3385,1397,3604,1,1
Live Oak County,TX,56.7,43.3,19.6,0.6,0,0,63.5,915,3153,739,3450,1,1
Livingston County,IL,89.6,10.4,0,0,0,0,10.4,5014,9745,4005,10197,1,1
Livingston County,KY,85.7,14.3,4.3,1.7,0,0,20.3,1346,3089,887,3570,1,1
Livingston County,MI,81.3,18.7,5.9,0,0,0,24.6,37186,60000,34378,65665,1,1
Livingston County,MO,55.1,44.9,28.8,10.7,6.2,0.9,91.5,1906,4006,1265,4879,1,1
Livingston County,NY,75.6,24.4,11.5,7.7,4.1,0,47.7,10889,13210,10478,19211,1,1
Livingston Parish,LA,79.8,20.2,4.5,1.3,0,0,26,7448,45488,6950,48797,1,1
Llano County,TX,59.2,40.8,25.5,7.4,1.7,0,75.4,1818,7560,1825,8283,1,1
Logan County,AR,56.9,43.1,35,15.4,0.2,0,93.7,2009,5078,1712,5737,1,1
Logan County,CO,58.7,41.3,5.4,0,0,0,46.7,2675,6124,1843,7272,1,1
Logan County,IL,65.5,34.5,6.5,0,0,0,41,3974,7835,3301,8167,1,1
Logan County,KS,66,34,24.2,0,0,0,58.2,194,1084,149,1124,1,1
Logan County,KY,87,13,5.1,3.2,0,0,21.3,3469,6899,2755,7778,1,1
Logan County,ND,59.7,40.3,20.2,8.4,2.4,0,71.3,221,799,112,867,1,1
Logan County,NE,84.7,15.3,1.3,0,0,0,16.6,68,356,32,400,1,1
Logan County,OH,93.8,6.2,0.4,0,0,0,6.6,6789,13323,4537,15586,1,1
Logan County,OK,52.3,47.7,24.4,14.2,0,0,86.3,4686,12297,4239,13613,1,1
Logan County,WV,91.6,8.4,0,0,0,0,8.4,3461,8186,2082,9866,1,1
Long County,GA,57.3,42.7,19.8,4.4,0,0,66.9,1434,2300,1356,2623,1,1
Lonoke County,AR,69.3,30.7,16.1,3.4,1.2,0,51.4,5612,17863,5638,19902,1,1
Lorain County,OH,90.6,9.4,5.4,0,0,0,14.8,78112,58095,64958,65346,0,1
Los Alamos County,NM,39.2,60.8,44.4,40,29.3,16.9,191.4,5191,4796,5443,3329,0,0
Los Angeles County,CA,16.4,83.6,69,42.7,15.2,11.4,221.9,1672164,699600,1893770,620285,0,0
Loudon County,TN,74.3,25.7,17.7,10.3,4.1,1.5,59.3,5057,16701,4916,17588,1,1
Loudoun County,VA,67,33,10.3,0.6,0,0,43.9,81900,74794,99909,69633,0,0
Louisa County,IA,50.4,49.6,8.1,0.8,0,0,58.5,2449,2416,1643,3060,0,1
Louisa County,VA,63.8,36.2,12.3,0.2,0,0,48.7,6949,9207,6208,10507,1,1
Loup County,NE,80,20,1.3,0,0,0,21.3,62,290,48,323,1,1
Love County,OK,59.8,40.2,17,7.2,0,0,64.4,1034,2436,735,2920,1,1
Loving County,TX,75.5,24.5,10.5,0.1,0,0,35.1,9,54,4,57,1,1
Lowndes County,AL,69,31,14.4,4.8,3.2,0,53.4,5747,1754,4882,1751,0,0
Lowndes County,GA,58,42,25.3,8.4,0.4,0,76.1,17118,21176,14614,21308,1,1
Lowndes County,MS,52.9,47.1,31.8,18,3.9,0,100.8,12037,12399,11545,13124,1,1
Lubbock County,TX,51.3,48.7,32.7,25.3,11.5,0.3,118.5,26088,63133,27956,65566,1,1
Lucas County,IA,41.5,58.5,22,7.6,2.5,0,90.6,1977,2248,1236,2873,1,1
Lucas County,OH,90.1,9.9,1.2,0,0,0,11.1,129229,68100,107363,74102,0,0
Luce County,MI,95.4,4.6,0,0,0,0,4.6,951,1501,681,1756,1,1
Lumpkin County,GA,62.5,37.5,29.1,25.7,18.5,5.6,116.4,2049,8633,2216,9613,1,1
Luna County,NM,43.8,56.2,30.2,2.9,0,0,89.3,3573,3654,3195,3478,1,1
Lunenburg County,VA,62.6,37.4,18.2,0,0,0,55.6,2684,2969,2226,3206,1,1
Luzerne County,PA,72.3,27.7,5.9,0,0,0,33.6,63974,57969,51454,77508,0,1
Lycoming County,PA,80.8,19.2,4.7,1.2,0,0,25.1,15104,30490,12926,35475,1,1
Lyman County,SD,61.9,38.1,12.4,5.6,0.5,0,56.6,605,933,369,977,1,1
Lynn County,TX,55.9,44.1,30.5,21.7,4.9,0,101.2,464,1377,403,1546,1,1
Lyon County,IA,85.7,14.3,2.6,0,0,0,16.9,1416,4965,917,5188,1,1
Lyon County,KS,59.3,40.7,20.8,15.6,4.1,0.8,82,4972,6358,4456,6354,1,1
Lyon County,KY,90.4,9.6,4.5,2,0,0,16.1,1373,2412,1045,2789,1,1
Lyon County,MN,97.2,2.8,0,0,0,0,2.8,5465,6595,3825,7256,1,1
Mackinac County,MI,94.6,5.4,0.1,0,0,0,5.5,2652,3396,2085,3740,1,1
Macomb County,MI,91,9,0,0,0,0,9,207992,191896,176238,224589,0,1
Macon County,AL,60.9,39.1,21.6,9.6,4.2,0,74.5,9045,1322,7237,1394,0,0
Macon County,GA,47.2,52.8,28.9,7.6,5.2,0,94.5,3211,1545,2705,1540,0,0
Macon County,IL,76.7,23.3,2.1,0,0,0,25.4,22688,25249,18211,26782,1,1
Macon County,MO,51,49,17.6,6.7,2.9,0,76.2,2309,4700,1518,5794,1,1
Macon County,NC,71.3,28.7,23.1,18.2,10.1,1.8,81.9,5692,10817,4841,12035,1,1
Macon County,TN,83.1,16.9,5.7,3.8,1.3,0,27.7,1552,5259,1071,6260,1,1
Macoupin County,IL,74.8,25.2,8.5,0.4,0,0,34.1,9440,10909,6532,14194,1,1
Madera County,CA,50.4,49.6,24.3,16.7,14,4.5,109.1,12698,18990,13283,19221,1,1
Madison County,AL,60.8,39.2,23.1,12.1,4.5,0.4,79.3,61802,90679,62435,89199,1,1
Madison County,AR,58.8,41.2,30,8.2,0,0,79.4,2099,4262,1587,4917,1,1
Madison County,FL,64.9,35.1,13,1.1,0,0,49.2,4174,4474,3526,4849,1,1
Madison County,GA,65.2,34.8,19.1,15.4,7.7,4,81,2486,8441,2423,9195,1,1
Madison County,IA,68.3,31.7,11.1,2.4,1,0,46.2,3508,4492,2666,5336,1,1
Madison County,ID,74.1,25.9,3.7,0,0,0,29.6,832,13445,1201,8941,1,1
Madison County,IL,78.1,21.9,7.8,1.1,0,0,30.8,58813,60481,50336,70295,1,1
Madison County,IN,97.4,2.6,0,0,0,0,2.6,24404,26755,18595,32376,1,1
Madison County,KY,92.1,7.9,5.1,3.2,0,0,16.2,11512,21128,11793,23431,1,1
Madison County,MO,66.7,33.3,18.1,3.4,0,0,54.8,1588,3227,1005,4102,1,1
Madison County,MS,68.5,31.5,19,10.1,2.8,0,63.4,20722,28507,18358,25607,1,1
Madison County,MT,82.2,17.8,2.4,0,0,0,20.2,1285,3115,1175,3280,1,1
Madison County,NC,74,26,16.7,7.2,1.1,0,51,4466,5379,3899,6735,1,1
Madison County,NE,89.3,10.7,3.4,0,0,0,14.1,3368,9874,2663,10518,1,1
Madison County,NY,84.8,15.2,0.5,0,0,0,15.7,12698,12611,10548,14901,0,1
Madison County,OH,95.3,4.7,0.1,0,0,0,4.8,6700,10215,4662,11319,1,1
Madison County,TN,88.5,11.5,5.4,3.2,0,0,20.1,18360,21989,15438,21321,1,1
Madison County,TX,76.9,23.1,5.1,0.1,0,0,28.3,964,3028,881,3349,1,1
Madison County,VA,65.5,34.5,15,0,0,0,49.5,2637,3864,2202,4418,1,1
Madison Parish,LA,60.6,39.4,19.1,10.1,1.9,0,70.5,3154,2000,2744,1927,0,0
Magoffin County,KY,89.7,10.3,5.9,3.6,0.6,0,20.4,1433,3391,1172,3824,1,1
Mahaska County,IA,50.3,49.7,30.4,3.8,0.6,0,84.5,4207,6420,2606,7404,1,1
Mahnomen County,MN,86.2,13.8,4.3,0,0,0,18.1,1276,871,930,991,0,1
Mahoning County,OH,90.5,9.5,4.5,0,0,0,14,74298,41702,56188,52808,0,0
Major County,OK,54.9,45.1,33.1,20.8,14.1,6.1,119.2,446,2700,310,2940,1,1
Malheur County,OR,41.9,58.1,41.1,23.3,8.4,0,130.9,2701,6751,2213,7141,1,1
Manatee County,FL,79.3,20.7,11.2,5.7,0.1,0,37.7,66476,85616,71066,101681,1,1
Manistee County,MI,93.5,6.5,0,0,0,0,6.5,6467,5736,4979,6915,0,1
Manitowoc County,WI,96.4,3.6,0,0,0,0,3.6,20382,21581,14563,23234,1,1
Marathon County,WI,92.4,7.6,0,0,0,0,7.6,32330,36568,26476,39010,1,1
Marengo County,AL,66.2,33.8,15.8,6.3,4.1,0,60,6154,5321,5607,5224,0,0
Maricopa County,AZ,23.4,76.6,54.5,22.9,14.4,0.7,169.1,512008,654835,549040,590465,1,1
Maries County,MO,64.1,35.9,14.5,0.5,0,0,50.9,1299,3165,794,3559,1,1
Marin County,CA,66.9,33.1,5.4,0,0,0,38.5,73450,23347,69518,14214,0,0
