county,state,None,D0,D1,D2,D3,D4,Overall D,blue_2012,red_2012,blue_2016,red_2016,target_2012,target_2016
Colleton County,SC,60.5,39.5,14.3,2.6,0,0,56.4,8470,8439,7616,9083,0,1
Collier County,FL,68.9,31.1,17.2,7.3,0,0,55.6,51678,96508,60941,105297,1,1
Collin County,TX,62.1,37.9,14.1,3.2,0.1,0,55.3,100754,195933,139837,200395,1,1
Collingsworth County,TX,51.1,48.9,33,18.6,11.6,0.5,112.6,177,962,145,983,1,1
Colorado County,TX,71.3,28.7,6.2,0.3,0,0,35.2,2024,6015,1977,6323,1,1
Colquitt County,GA,52.9,47.1,24.7,9,0.6,0,81.4,3971,9240,3460,9892,1,1
Columbia County,AR,62,38,22.7,8,0.6,0,69.3,3557,5790,3140,5456,1,1
Columbia County,FL,74.8,25.2,5.2,0.5,0,0,30.9,8462,18429,7599,20359,1,1
Columbia County,GA,49,51,16,3.8,0.8,0,71.6,16420,41724,18863,43060,1,1
Columbia County,NY,66.9,33.1,17.4,6.1,0,0,56.6,14244,11194,13123,12756,0,0
Columbia County,OR,52.6,47.4,29.8,12.5,0,0,89.7,11843,10645,9959,12967,0,1
Columbia County,PA,69.9,30.1,3.9,0,0,0,34,10424,13445,8502,17387,1,1
Columbia County,WA,64,36,13.2,0,0,0,49.2,634,1545,523,1491,1,1
Columbia County,WI,93.6,6.4,0,0,0,0,6.4,17158,13014,13525,14160,0,1
Columbiana County,OH,92.3,7.7,1.8,0,0,0,9.5,19351,24778,12273,31086,1,1
Columbus County,NC,76.7,23.3,6.8,0,0,0,30.1,10973,12863,8991,14177,1,1
Colusa County,CA,54.3,45.7,27.5,4.7,0,0,77.9,2248,3521,2518,3464,1,1
Comal County,TX,61,39,17.8,4.2,0,0,61,11437,39291,14166,44996,1,1
Comanche County,KS,52.2,47.8,26.2,16.4,11.2,1.8,103.4,141,756,102,705,1,1
Comanche County,OK,57.1,42.9,26.4,13.8,4.2,0,87.3,12517,17657,11439,19153,1,1
Comanche County,TX,67.1,32.9,15.4,6.1,0.6,0,55,890,3940,788,4300,1,1
Concho County,TX,66.7,33.3,16.8,3.7,0.4,0,54.2,194,793,148,885,1,1
Concordia Parish,LA,61.7,38.3,17.2,3,0.4,0,58.9,3833,5450,3272,5474,1,1
Conecuh County,AL,68,32,16.8,5,1.9,0,55.7,3551,3434,3069,3413,0,1
